start=2014-09-18T09:01:00,end=2014-11-13T09:01:00,version=0.2.2,note=NOT FOR NAVIGATION
FAA,ICAO,NAME,STATE,LATITUDE,LONGITUDE,ELEVATION
00A,,TOTAL RF,PA,40.07083333333333,-74.9336111111111,11.0
00AK,,LOWELL FIELD,AK,59.94888888888889,-151.69222222222223,252.0
00AL,,EPPS AIRPARK,AL,34.86481027777778,-86.7702775,820.0
00C,,ANIMAS AIR PARK,CO,37.203178333333334,-107.86919527777778,6684.0
00CA,,GOLDSTONE /GTS/,CA,35.350525555555556,-116.88836916666668,3038.0
00CO,,CASS FIELD,CO,40.62220472222222,-104.34439583333334,4830.0
00F,,BROADUS,MT,45.47047222222223,-105.45713888888889,3282.0
00FA,,GRASS PATCH,FL,28.645547222222223,-82.218975,53.0
00FL,,RIVER OAK,FL,27.230879722222223,-80.96923055555555,35.0
00GA,,LT WORLD,GA,33.7675,-84.06833333333333,700.0
00GE,,CAFFREY,GA,33.884166666666665,-84.73388888888888,957.0
00HI,,KAUPULEHU,HI,19.83251222222222,-155.98165861111113,43.0
00ID,,DELTA SHORES,ID,48.14527777777778,-116.21444444444444,2064.0
00IL,,HAMMER,IL,41.978363333333334,-89.56038833333334,840.0
00IN,,ST MARY MEDICAL CENTER,IN,41.51138888888889,-87.26055555555556,634.0
00IS,,HAYENGA'S CANT FIND FARMS,IL,40.025594999999996,-89.12286472222223,820.0
00KS,,HAYDEN FARM,KS,38.72778666666667,-94.93051972222221,1100.0
00KY,,ROBBINS ROOST,KY,37.409444444444446,-84.61972222222222,1265.0
00LA,,SHELL CHEMICAL EAST SITE,LA,30.191944444444445,-90.98083333333334,15.0
00LL,,AC & R COMPONENTS,IL,39.665277777777774,-89.70555555555555,600.0
00LS,,LEJEUNE,LA,30.136277777777778,-92.42936111111112,12.0
00M,,THIGPEN FIELD,MS,31.95375,-89.23533333333333,351.0
00MD,,SLATER FLD,MD,38.757057777777774,-75.75382083333334,45.0
00MN,,BATTLE LAKE MUNI,MN,46.29996027777778,-95.70032416666668,1365.0
00MO,,COOPER FLYING SERVICE,MO,37.20283472222222,-94.41244777777777,970.0
00N,,BUCKS,NJ,39.47302777777777,-75.18441666666668,108.0
00NC,,NORTH RALEIGH,NC,36.08515027777778,-78.37138555555556,348.0
00NJ,,COLGATE-PISCATAWAY,NJ,40.52093694444444,-74.47459749999999,78.0
00NK,,CLICHE COVE,NY,44.811861111111114,-73.36980555555556,96.0
00NR,,RODANTHE DARE COUNTY,NC,35.594750000000005,-75.47005555555556,8.0
00NY,,WEISS AIRFIELD,NY,42.900063888888894,-77.49971611111111,1000.0
00OH,,GOOD SAMARITAN MEDICAL CENTER,OH,39.20323055555556,-84.67011944444444,668.0
00OI,,MIAMI VALLEY HOSPITAL,OH,39.74533666666667,-84.18743972222222,905.0
00PA,,R J D,PA,39.94888888888889,-75.74694444444444,402.0
00PN,,FERRELL FIELD,PA,41.2995,-80.21111111111111,1301.0
00R,,LIVINGSTON MUNI,TX,30.685861111111112,-95.01791666666666,150.7
00S,,MC KENZIE BRIDGE STATE,OR,44.181555555555555,-122.08555555555556,1620.0
00SC,,FLYING O,SC,34.00944444444445,-80.26722222222222,150.0
00TA,,SW REGION FAA,TX,32.82694444444444,-97.30583333333334,598.0
00TE,,TCJC-NORTHEAST CAMPUS,TX,32.84762777777778,-97.18945722222222,600.0
00TN,,RAGSDALE ROAD,TN,35.51590861111111,-85.95359583333334,1100.0
00TS,,ALPINE RANGE,TX,32.607635555555554,-97.24195777777778,670.0
00TX,,SAN JACINTO METHODIST HOSPITAL,TX,29.737726944444443,-94.98020527777778,19.0
00VA,,VAUGHAN,VA,36.576,-78.99916666666667,551.0
00VI,,GROUNDHOG MOUNTAIN,VA,36.663333333333334,-80.4995,2680.0
00W,,LOWER GRANITE STATE,WA,46.67275,-117.44166666666666,719.0
00WA,,HOWELL,WA,47.17843055555556,-122.7718,150.0
00WI,,NORTHERN LITE,WI,44.304285,-89.0501136111111,860.0
00WN,,HAWKS RUN,WA,46.25,-117.24900000000001,2900.0
00WV,,LAZY J. AERODROME,WV,38.82888888888889,-79.86611111111111,2060.0
00XA,,WISKEY RANCH,TX,30.2240375,-96.01415277777778,271.0
00XS,,L P ASKEW FARMS,TX,33.033427777777774,-101.93377194444446,3110.0
01A,,PURKEYPILE,AK,62.94361083333334,-152.2700163888889,1950.0
01AA,PFCR,DONLIN CREEK,AK,62.03247638888889,-158.2364041666667,733.7
01AK,,PROVIDENCE SEWARD MEDICAL CENTER,AK,60.10527777777778,-149.44305555555556,120.0
01AL,,WARE ISLAND,AL,32.94595611111111,-86.51386833333332,344.0
01AR,,COMMUNITY HOSPITAL OF DE QUEEN,AR,34.047335555555556,-94.35492833333335,400.0
01AZ,,YAT,AZ,34.60805555555555,-111.86472222222223,3300.0
01B,,TIPPECANOE,IN,41.33305555555555,-85.7675,836.0
01CA,,LUGO SUBSTATION,CA,34.368612222222225,-117.37004694444444,3733.0
01CL,,SWANSBORO COUNTRY,CA,38.799902222222215,-120.73437555555554,2594.0
01CO,,ST VINCENT GENERAL HOSPITAL,CO,39.2452675,-106.24585611111111,10175.0
01CT,,BERLIN FAIRGROUNDS,CT,41.627288888888884,-72.72746388888889,60.0
01D,,LAKE WAWASEE,IN,41.40361111111111,-85.70611111111111,859.0
01E,,LAKE JAMES,IN,41.7,-85.03930555555556,964.0
01F,,HAMILTON LAKE,IN,41.55222222222222,-84.91722222222222,900.0
01FA,,RYBOLT RANCH,FL,28.58944361111111,-81.14423027777778,55.0
01FD,,FLORIDA HOSPITAL-ALTAMONTE,FL,28.66638638888889,-81.37062416666666,86.0
01FL,,CEDAR KNOLL FLYING RANCH,FL,28.78193611111111,-81.15922777777777,19.0
01G,,PERRY-WARSAW,NY,42.74136111111111,-78.05213888888889,1558.1
01GA,,MEDICAL CENTER,GA,32.47930888888889,-84.97909833333334,319.0
01GE,,THE FARM,GA,32.67444444444445,-82.77111111111111,375.0
01H,,LAKE MAXINKUCKEE,IN,41.20611111111111,-86.40444444444445,733.0
01IA,,STENDER,IA,41.661139722222224,-90.74125444444445,725.0
01ID,,LAVA HOT SPRINGS,ID,42.60825111111111,-112.03246055555556,5268.0
01IL,,HOOPESTON COMMUNITY MEMORIAL HOSPITAL,IL,40.4586475,-87.65946805555556,583.0
01IN,,COMMUNITY HOSPITAL,IN,40.13087444444444,-85.69580944444444,890.0
01IS,,WILLIAM E. KOENIG,IL,39.01615833333334,-90.31816861111112,670.0
01J,,HILLIARD AIRPARK,FL,30.685966666666666,-81.90634305555557,59.0
01K,,CALDWELL MUNI,KS,37.03661111111111,-97.58555555555556,1157.0
01KS,,FLYING N RANCH,KS,38.540567777777774,-97.00335,1485.0
01KY,,LOURDES HOSPITAL,KY,37.05166666666667,-88.64694444444444,419.0
01L,,BASS LAKE,IN,41.22888888888889,-86.58166666666666,713.0
01LA,,BARHAM,LA,32.639026944444446,-91.77373611111112,90.0
01LS,,COUNTRY BREEZE,LA,30.722638888888888,-91.07736111111112,125.0
01M,,TISHOMINGO COUNTY,MS,34.49166666666667,-88.20111111111112,578.0
01MA,,COMPAQ ANDOVER,MA,42.62509222222222,-71.18006944444444,140.0
01MD,,ANNAPOLIS,MD,38.99916666666667,-76.45596666666665,0.0
01ME,,SAINT PETER'S,ME,46.778888888888886,-68.50027777777778,608.0
01MI,,FLOW THROUGH TERMINAL,MI,43.04947111111111,-83.67967861111111,736.0
01MN,,BARNES,MN,47.89963777777778,-92.55738944444445,1358.0
01MO,,HIGHWAY PATROL TROOP C HEADQUARTERS,MO,38.64171916666667,-90.48428694444445,575.0
01MT,,CRYSTAL LAKES RESORT,MT,48.78913194444444,-114.88043638888888,3141.0
01NC,,TOPSAIL AIRPARK,NC,34.47527777777778,-77.5813888888889,65.0
01NE,,DETOUR,NE,40.84361666666666,-100.6526436111111,3000.0
01NH,,MOORE AIRFIELD,NH,43.64451666666667,-72.08703055555556,835.0
01NJ,,ALBERT GUIDO MEMORIAL,NJ,40.74176805555555,-74.13708777777778,10.0
01NK,,GRANVILLE,NY,43.425,-73.26194444444444,421.0
01NM,,CHAMPION RANCH,NM,33.00861111111111,-104.54027777777777,3630.0
01NR,,MCGEE 01,NC,34.19638888888889,-77.91944444444445,40.0
01NV,,LANTANA RANCH,NV,38.763888888888886,-119.02722222222222,4600.0
01NY,,VASSAR HOSPITAL,NY,41.700093333333335,-73.94958222222222,100.0
01OH,,ATRIUM MEDICAL CENTER,OH,39.49747222222222,-84.31391666666666,775.0
01OI,,GALION COMMUNITY HOSPITAL,OH,40.73061333333334,-82.80156972222223,1140.0
01PA,,PINE,PA,40.65562222222222,-80.05089138888889,1215.0
01PN,,BIERLY(PERSONAL USE),PA,40.930616944444445,-77.73888972222223,960.0
01PS,,NORT'S RESORT,PA,41.595908333333334,-76.02964444444444,1040.0
01SC,,YORK,SC,35.03207944444445,-81.25277777777778,779.0
01TA,,THIRTY THIRTY  MATLOCK OFFICE CENTER,TX,32.69416666666667,-97.11583333333333,630.0
01TE,,SMITH FIELD,TX,32.737629166666665,-96.42804055555555,505.0
01TN,,COLONIAL AIR PARK,TN,34.99592611111111,-89.73064,370.0
