start=2014-09-18T09:01:00,end=2014-11-13T09:01:00,version=0.2.2,note=NOT FOR NAVIGATION
AIRPORT,RUNWAY,LENGTH,LATITUDE,LONGITUDE,ELEVATION,WIDTH,LANDING_LATITUDE,LANDING_LONGITUDE,LANDING_ELEVATION
PADK,05,7790,51.878338888888884,-176.65749444444444,17.4,200,,,
PADK,23,7790,51.888825,-176.6274611111111,15.2,200,,,
PADK,18,7605,51.88270277777778,-176.64786111111113,6.4,200,,,
PADK,36,7605,51.86196111111111,-176.65102777777776,4.3,200,,,
PAKH,04,3120,56.93657666666667,-154.18991333333332,44.1,50,,,
PAKH,22,3120,56.940550555555554,-154.17608416666667,39.1,50,,,
Z13,01,3300,60.90976944444445,-161.49745833333333,23.0,60,,,
Z13,19,3300,60.91785,-161.4892,23.1,60,,,
KKI,E,5000,,,0.0,300,,,
KKI,W,5000,,,0.0,300,,,
KKI,NW,5000,,,0.0,500,,,
KKI,SE,5000,,,0.0,500,,,
PFAK,03,3196,60.899911888888894,-161.23716075000002,30.4,75,,,
PFAK,21,3196,60.905872388888895,-161.22402666666667,30.4,75,,,
KQA,E,10000,,,,1000,,,
KQA,W,10000,,,,1000,,,
PAUT,09,4500,54.14554444444444,-165.61448055555556,113.2,75,,,
PAUT,27,4500,54.143677777777775,-165.59373333333332,129.3,75,,,
PAUK,16,4000,62.68851861111111,-164.72213255555556,21.6,75,,,
PAUK,34,4000,62.67757986111111,-164.7222731111111,21.6,75,,,
Z25,11,1250,,,,50,,,
Z25,29,1250,,,,50,,,
Z25,18,850,,,,40,,,
Z25,36,850,,,,40,,,
Z33,E,10000,,,,1000,,,
Z33,W,10000,,,,1000,,,
5A8,15,2030,59.28523055555555,-158.61933055555554,61.7,60,,,
5A8,33,2030,59.27988055555556,-158.61640555555556,51.8,60,,,
4AK7,03,1200,,,,25,,,
4AK7,21,1200,,,,25,,,
4AK7,09,1150,,,,35,,,
4AK7,27,1150,,,,35,,,
PFAL,05,4000,66.55030280555556,-152.63534405555558,438.2,100,,,
PFAL,23,4000,66.55336186111111,-152.60899238888888,441.1,100,,,
PAFM,09,2400,67.10933888888889,-157.86801944444446,333.8,60,,,
PAFM,27,2400,67.10683611111111,-157.85244722222222,309.8,60,,,
PAFM,18,3000,67.10868611111111,-157.8512472222222,310.1,60,,,
PAFM,36,3000,67.10110555555556,-157.85928055555556,291.7,60,,,
80A,02,1500,,,,70,,,
80A,20,1500,,,,70,,,
AK81,N,8000,,,0.0,700,,,
AK81,S,8000,,,0.0,700,,,
PAKP,02,4800,68.12845669444444,-151.75425183333334,2052.5,100,,,
PAKP,20,4800,68.13874127777778,-151.73242277777777,2106.3,100,,,
CSR,02,5000,,,245.0,150,,,
CSR,20,5000,,,286.0,150,,,
AK38,H1,130,,,,130,,,
AK38,,130,,,,130,,,
AA06,06,1600,,,,35,,,
AA06,24,1600,,,,35,,,
AA06,07W,4000,,,,50,,,
AA06,25W,4000,,,,50,,,
AA04,H1,50,,,,50,,,
AA04,,50,,,,50,,,
2OK,H1,175,,,,175,,,
2OK,,175,,,,175,,,
AK36,01,3000,,,,100,,,
AK36,19,3000,,,,100,,,
AK82,H1,100,,,,90,,,
AK82,,100,,,,90,,,
64AK,09,1200,,,,30,,,
64AK,27,1200,,,,30,,,
AK12,13,1078,,,,50,,,
AK12,31,1078,,,,50,,,
A13,14,1000,,,,15,,,
A13,32,1000,,,,15,,,
AK37,H1,30,,,,30,,,
AK37,,30,,,,30,,,
PANC,07L,10600,61.169764972222225,-150.00833327777778,127.6,150,,,
PANC,25R,10600,61.16981116666666,-149.94830072222223,91.5,150,,,
PANC,07R,12400,61.16781155555556,-150.04287130555556,131.7,200,,,
PANC,25L,12400,61.16788116666667,-149.9726486111111,100.4,200,,,
PANC,15,10960,61.19999136111111,-150.0146768888889,151.4,150,61.19946288888889,-150.0143808611111,150.7
PANC,33,10960,61.17105,-149.99848055555557,121.3,150,61.171752000000005,-149.99887227777776,120.9
PAMR,05,2000,61.209671944444445,-149.84514055555556,130.0,60,,,
PAMR,23,2000,61.21188472222222,-149.83476555555555,136.0,60,,,
PAMR,07,4000,61.21590277777778,-149.85330555555555,124.4,100,,,
PAMR,25,4000,61.2159,-149.83062222222222,136.7,100,,,
PAMR,16,2640,61.21568055555556,-149.85251666666667,124.4,75,,,
PAMR,34,2640,61.208461111111106,-149.85252499999999,117.1,75,,,
3C3,06W,4000,,,,200,,,
3C3,24W,4000,,,,200,,,
PAED,06,10000,61.24863333333333,-149.84425833333333,174.2,200,,,
PAED,24,10000,61.25338055555556,-149.7883361111111,201.1,200,,,
PAED,16,7493,61.26206388888889,-149.79347777777778,213.0,150,,,
PAED,34,7493,61.24156666666667,-149.79349166666665,185.0,150,,,
AK91,H1,50,,,228.0,50,,,
AK91,,50,,,,50,,,
6AK5,18,2000,,,,60,,,
6AK5,36,2000,,,,60,,,
9AK5,16,1800,,,,70,,,
9AK5,34,1800,,,,70,,,
PAFR,17,4088,61.27138055555555,-149.65102055555556,386.8,100,61.26992611111111,-149.65162777777778,382.2
PAFR,35,4088,61.260418055555554,-149.65559472222222,365.3,100,61.26221472222222,-149.65484444444442,364.2
PALH,14,2200,61.189327,-149.96818883333333,67.6,75,,,
PALH,32,2200,61.18394930555556,-149.96259472222224,72.4,75,,,
PALH,E,4540,,,,188,,,
PALH,W,4540,,,,188,,,
PALH,N,1930,,,,200,,,
PALH,S,1930,,,,200,,,
PALH,NW,1370,,,,150,,,
PALH,SE,1370,,,,150,,,
2AK0,16,1400,,,,60,,,
2AK0,34,1400,,,,60,,,
0AK9,17,2000,,,,30,,,
0AK9,35,2000,,,,30,,,
AK00,16,2500,,,,75,,,
AK00,34,2500,,,,75,,,
00AK,N,2500,,,,70,,,
00AK,S,2500,,,,70,,,
PAGN,NW,10000,,,0.0,900,,,
PAGN,SE,10000,,,0.0,900,,,
PANI,05W,3000,,,,400,,,
PANI,23W,3000,,,,400,,,
PANI,10,6000,61.58584583333334,-159.55777111111112,88.0,150,,,
PANI,28,6000,61.57734666666667,-159.52831749999999,87.6,150,,,
PANT,02,5709,55.03734111111112,-131.57216277777778,92.0,150,,,
PANT,20,5709,55.048186888888885,-131.55255144444445,99.0,150,,,
PANT,12,7493,55.05091052777777,-131.58606558333335,99.0,150,,,
PANT,30,7493,55.03295983333333,-131.5687499722222,99.0,150,,,
Z43,NW,10560,,,0.0,1500,,,
Z43,SE,10560,,,0.0,1500,,,
PANV,17,4000,62.6527635,-160.1887443611111,290.4,75,,,
PANV,35,4000,62.64189247222222,-160.19138380555555,297.3,75,,,
K40,E,2000,,,,500,,,
K40,W,2000,,,,500,,,
PARC,02,4500,68.11028888888889,-145.59098333333333,2077.0,75,,,
PARC,20,4500,68.11905,-145.5678472222222,2092.0,75,,,
PAAK,16,4500,52.22653611111111,-174.208775,56.7,100,,,
PAAK,34,4500,52.214619444444445,-174.20363333333333,34.2,100,,,
4A2,15,3000,60.87186180555556,-162.27626880555556,18.0,75,,,
4A2,33,3000,60.863889388888886,-162.27227844444442,19.2,75,,,
PATQ,06,4370,70.46618063888889,-157.45328455555557,100.8,90,,,
PATQ,24,4370,70.46804313888889,-157.41804116666665,98.9,90,,,
PAAT,02,5998,52.82485555555556,173.17076944444446,54.7,150,,,
